JosserandSetID	CORR_SET	SUBSET	SOUND_FROM	SOUND_TO	ENVIRONMENT_LEFT	ENVIRONMENT_RIGHT	JosserandID	COMP	PRESENT	SOURCE	PAGE
Josserand028	8	1	*u	u; a; i; o; ü; ɨ	y	t	11, 23	yes	yes	josserand1983mixtec	316
Josserand029	8	1	*u	u; a; i; o; ü; ɨ	y	y	178	yes	yes	josserand1983mixtec	316
Josserand030	8	1	*u	u; i; ɨ; ü	y	k	71, 179, 180	yes	yes	josserand1983mixtec	316
Josserand031	9	1	*u	u; ü; i; ĩ; ɨ	y	(ʔ)wi(ʔ)#	3, 136	yes	yes	josserand1983mixtec	319
Josserand032	9	1	*u	u; ü; o; i; e; a 	y	ʔwe#	34	no_dr	NA	josserand1983mixtec	319
Josserand033	9	2	*u	u; ü; o; i	y	(ʔ)wẽ(ʔ)#	7, 101	yes	yes	josserand1983mixtec	319
Josserand034	10	1	*u	u; i; ɨ; ü; a	a(ʔ)y	#	111, 141	no_me	NA	josserand1983mixtec	323
Josserand035	10	1	*u	u; i; ɨ; ü; a	uy	#	178	yes	yes	josserand1983mixtec	323
Josserand036	10	1	*u	i; u; a; e; ɨ	e(ʔ)y	#	24, 46, 58, 168 	yes	yes	josserand1983mixtec	323
Josserand037	11	1	*ũ	u; o	y	(ʔ)ũ	100, 105	yes	yes	josserand1983mixtec	335
Josserand038	11	1	*ũ	u; a; o; i 	y	wẽ(ʔ), xẽʔ	7, 101, 109	yes	yes	josserand1983mixtec	335
Josserand039	11	2	*ũ	u; o; a; e; ɨ	iy	#	38, 83	yes	yes	josserand1983mixtec	335
Josserand040	12	1	*u	u; ü; i; o; e;  ɨ	t, #	ʔwe, wi	138, 174	yes	yes	josserand1983mixtec	340
Josserand041	12	2	*u	u; ü; i; o; e;  ɨ	y	wi(ʔ)	3, 136	yes	yes	josserand1983mixtec	340
Josserand042	12	3, 4	*u	u; o; i	l, y	(ʔ)wẽ(ʔ)	6, 7, 101, 139	no_dr	NA	josserand1983mixtec	340
Josserand043	13	1	*u	u; yu; iu; i; a; ɨ	is, it, ik	#	12, 169, 171	yes	yes	josserand1983mixtec	347
Josserand044	13	1	*u	u; yu; iu; i; a; ɨ	wil	ʔ#	117	no_me	NA	josserand1983mixtec	347
Josserand045	13	2	*ũ	u; o; yu	xit	#	54	yes	yes	josserand1983mixtec	347
Josserand046	14	1	*u	w; u; o	k	+(i)ka	172	no_dr	NA	josserand1983mixtec	349
Josserand047	14	1	*u	w; u; o	k	+iso	79, 80, 81	no_me	NA	josserand1983mixtec	349
