DOCULECT	VillageName	Abbreviation	MapAbbr	AudersetGroup	AudersetGroupSub	AudersetGroupLow	JosserandArea	JosserandAreaSub	Latitude	Longitude	Glottocode	ISO639P3code	JosserandCode	AudersetCode	SOURCE
SanEstebanAtatlahucaMixtec	San Esteban Atatlahuca	Atatlahuca	atat	Group 6	Group 62	Group 622	Western Alta	NA	17.07133	-97.67753	atat1238	mib	atat	atat11	durr1987preliminary; josserand1983mixtec; alexander1980gramatica
SanFranciscoSayultepecMixtec	San Francisco Sayultepec	Sayultepec	sayu	Group 2	Group 22	NA	Coast	West	16.59537	-98.12933	pino1237	mio	sayu	sayu11	josserand1983mixtec
SanJeronimoProgresoMixtec	San Jerónimo Progreso	Progreso	prog	Group 7	Group 73	NA	Southern Baja	NA	17.44616	-98.15466	sila1250	mks	silp	prog12	shields1988syntactic; durr1987preliminary; josserand1983mixtec
SanJeronimoXayacatlanMixtec	San Jerónimo Xayacatlán	Xayacatlan	xaya	Group 7	Group 74	Group 741	Northern Baja	NA	18.22159	-97.91563	south3001	mit	jer	xaya11	durr1987preliminary; josserand1983mixtec
SanJorgeNuchitaMixtec	San Jorge Nuchita	Nuchita	nuch	Group 7	Group 76	NA	Central Baja	NA	17.65569	-98.10499	sila1250	mks	nuch	nuch11	josserand1983mixtec
SanJuanCoatzospamMixtec	San Juan Coatzóspam	Coatzospam	coat	Group 1	NA	NA	Northern Alta	NA	18.05017	-96.76363	coat1241	miz	coat	coat11	small1990syntactic; durr1987preliminary; josserand1983mixtec
SanJuanColoradoMixtec	San Juan Colorado	Colorado	colo	Group 2	Group 22	NA	Coast	East	16.46073	-97.95446	sanj1281	mjc	colo	colo11	stark1986diccionario; josserand1983mixtec
SanJuanDiuxiMixtec	San Juan Diuxi	Diuxi	diux	Linkage 5	NA	NA	Eastern Alta	NA	17.3596	-97.3861	diux1236	xtd	diux	diux11	kuiper1991syntactic;  durr1987preliminary; josserand1983mixtec
SanJuanMixtepecMixtec	San Juan Mixtepec	Mixtepec	mixt	Group 7	Group 71	NA	Mixtepec	NA	17.3317	-97.8791	mixt1425	mix	mix	mixt11	durr1987preliminary; josserand1983mixtec;
SanJuanNumiMixtec	San Juan Ñumi	Numi	numi	Linkage 5	NA	NA	Western Alta	NA	17.39759	-97.70603	nort2985	xtn	ñumi	numi11	josserand1983mixtec
SanJuanTamazolaMixtec	San Juan Tamazola	Tamazola	tama	Group 4	NA	NA	Eastern Alta	Teozacoalco	17.1258	-97.0998	tama1339	vmx	tamj	tama11	josserand1983mixtec
SanJuanTeitaMixtec	San Juan Teita	Teita	teit	Group 3	Group 31	NA	Western Alta	NA	17.1542	-97.3899	sanj1282	xtj	teit	teit11	josserand1983mixtec
SanLorenzoMixtec	San Lorenzo	Lorenzo	lore	Group 2	Group 22	Group 221	Coast	East	16.39429	-97.87421	NA	NA	lor	lore11	josserand1983mixtec
SanLuisMoreliaMixtec	San Luis Morelia	Morelia	more	Group 7	Group 76	NA	Central Baja	NA	17.70342	-98.21456	tama1339	vmx	mor	more11	josserand1983mixtec
SanMarcoslaFlorMixtec	San Marcos de la Flor	MarcoslaFlor	flor	Group 7	Group 73	NA	Southern Baja	NA	17.418889	-98.268611	sanm1291	jmx	NA	flor12	Anonymous p.c.
SanMartinEstadoMixtec	San Martín del Estado	Estado	esta	Group 7	Group 76	NA	Western Baja	NA	17.56721	-98.17607	NA	NA	silm	esta11	josserand1983mixtec
SanMartinDuraznosMixtec	San Martín Duraznos	Duraznos	dura	Group 7	Group 72	NA	Southern Baja	NA	17.30502	-98.10188	juxt1235	vmc	durz	dura11	hernandez2020san-martin; josserand1983mixtec
SanMartinPerasMixtec	San Martín Peras	Peras	pera	Group 7	Group 73	NA	Southern Baja	NA	17.35912	-98.23725	sanm1291	jmx	pera	pera11	josserand1983mixtec
SanMateoSindihuiMixtec	San Mateo Sindihui	Sindihui	sind	Group 4	NA	NA	Eastern Alta	Teozacoalco	17.02	-97.3036	sind1277	xts	sind	sind11	josserand1983mixtec
