ID	CONCEPT	GLOSS	COGIDS	DOCULECT	SOURCE_ORIGINAL	SOURCE_ORTHOGRAPHIC	TOKENS_SOURCE	TOKENS	COMMENT	SOURCE
5942	MAN	hombre	414	SantiagoTamazolaMixtec	tàā	tàā	t a ¹ a ³	t a ¹ a ³	NA	josserand1983mixtec
5944	COLD	frio	129	SanMiguelAchiutlaMixtec	ƀixi̧	ƀixi̧	β i x ĩ	β i x ĩ	NA	josserand1983mixtec
5945	SANDAL	huarache	631	SantaMariaPenolesMixtec	ⁿdísá	ⁿdísá	ⁿd i ⁵ s a ⁵	ⁿd i ⁵ s a ⁵	NA	josserand1983mixtec
5946	MAT	petate	416	SanPedroAtoyacMixtec	yuwi	yuwi	j u w i	j u w i	NA	josserand1983mixtec
5947	MOUTH	boca	447	SantiagoTilantongoMixtec	žuʔu	žuʔu	ʒ u ʔ u	ʒ u ʔ u	NA	josserand1983mixtec
5948	SWEET	dulce	735	PinotepaDonLuisMixtec	ƀiši	ƀiši	β i ʃ i	β i ʃ i	NA	josserand1983mixtec
5950	BLOOD	sangre	65	SanJeronimoProgresoMixtec	ni̧i̧	ni̧i̧	n ĩ ĩ	n i ĩ	NA	josserand1983mixtec
5956	NIGHT TIME	de noche	481	SanFranciscoSayultepecMixtec	ni̧ñu̧	ni̧ñu̧	n ĩ ɲ ũ	n i ɲ u	NA	josserand1983mixtec
5957	MEAT	carne	418	SanMiguelAhuehuetitlanMixtec	ku̧ñu̧	ku̧ñu̧	k ũ ɲ ũ	k u ɲ u	NA	josserand1983mixtec
5958	TAIL	cola	635	SanJuanCoatzospamMixtec	dúhmē	dúhmē	ð u ⁵ ʔ m e ¹	ð u ⁵ ʔ m e ¹	NA	small1990syntactic
5959	LAZY	flojo/a, perezoso/a	377	SanBartoloSoyaltepecMixtec	đusa	đusa	ð u s a	ð u s a	NA	josserand1983mixtec
5961	BLOOD	sangre	65	SantiagoTlazoyaltepecMixtec	nɨ̧̀ñɨ̧̀	nɨ̧̀ñɨ̧̀	n ɨ̃ ¹ ɲ ɨ̃ ⁵	n ɨ ¹ ɲ ɨ ⁵	NA	josserand1983mixtec
5963	BEAN	frijol(es)	24	SanSebastianTecomaxtlahuacaMixtec	ⁿdūčì	ⁿdūčì	ⁿd u ³ tʃ i ¹	ⁿd u ³ tʃ i ¹	NA	josserand1983mixtec
5965	RICH	rico	599	LaBateaMixtec	kwíka	kwíka	kʷ i ⁵ k a ³	kʷ i ⁵ k a ³	NA	ramirez2020vocabulario
5967	YESTERDAY	ayer	879	SanAntonioTepetlapaMixtec	iku	iku	i k u	i k u	NA	josserand1983mixtec
5968	LIME (MATERIAL)	cal	399	MetlatonocMixtec	kākā'	kākā'	k a ³ k a ³ ʔ	k a ³ k a ³ ʔ	NA	durr1987preliminary
5969	SALT	sal	624	SanPedroYosonamaMixtec	ñii	ñii	ɲ i i	ɲ i i	NA	gittlen2016gramatica
5970	GRIDDLE	comal	310	SantiagoTlazoyaltepecMixtec	šio	šio	ʃ i o	ʃ i o	NA	josserand1983mixtec
5971	SMOOTH	liso/a	660	SanAgustinTlacotepecMixtec	ⁿǰiʔi	ⁿǰiʔi	ⁿdʃ i ʔ i	ⁿdʃ i ʔ i	NA	josserand1983mixtec
5974	WOMAN	mujer	858	SantiagoYosonduaMixtec	ñāhā	ñāhā	ɲ a ³ ʔ a ³	ɲ a ³ ʔ a ³	NA	farris1992syntactic
5975	BROTHER (OF MAN)	hermano de hombre	84	SantoTomasOcotepecMixtec	ñāni	ñāni	ɲ a ³ n i ¹	ɲ a ³ n i ¹	NA	alexander1988syntactic
5976	BLACK	negro	93	TlahuapaMixtec	tùú	tùú	t ũ ¹ ũ ⁵	t ũ ¹ ũ ⁵	NA	reyes-basurto2020tlahuapa
5978	WORKING OR WORK	trabajo	870	SanJeronimoXayacatlanMixtec	čū̧ū̧	čū̧ū̧	tʃ ũ ³ ũ ³	tʃ ũ ³ ũ ³	NA	durr1987preliminary
5979	RIVER	río	607	XayacatlanBravoMixtec	yùtē	yùtē	j u ¹ t e ³	j u ¹ t e ³	NA	josserand1983mixtec
5980	COMB	peine	136	SantaMariaYolotepecMixtec	kuka	kuka	k u k a	k u k a	NA	josserand1983mixtec
5981	FISH	pescado	9 242	YoloxochitlMixtec	tia¹ka⁴	ti-a¹ka⁴	tʲ + a ¹ k a ⁵	tʲ + a ¹ k a ⁵	NA	amith2021recursos
5982	INTESTINES	tripas	367	SantoDomingoHuendioMixtec	xītì	xītì	x i ³ t i ¹	x i ³ t i ¹	irregular tones, expected 3.3	Becerra Roldan p.c.
5983	TASTY	sabroso	755	SanBartolomeYucuaneMixtec	asi̧	asi̧	a s ĩ	a s ĩ	NA	josserand1983mixtec
5984	WHEN	cuándo	770 163	SantaMariaYucunicocoMixtec	ⁿdâ-kìí	ⁿdâ-kìí	ⁿd a ⁵¹ + k i ¹ i ⁵	ⁿd a ⁵¹ + k i ¹ i ⁵	NA	josserand1983mixtec
5985	HORN (ANATOMY)	cuerno	350	YucunaniMixtec	ntikǐ	ntikǐ	ⁿd i ³ k i ¹⁵	ⁿd i ³ k i ¹⁵	NA	salazar2020yucunani
5986	TASSEL	espiga	751	SantaMariaZacatepecMixtec	yokoʔ	yokoʔ	j o k o ʔ	j o k o ʔ	NA	josserand1983mixtec
5987	BROTHER (OF MAN)	hermano de hombre	84	YucunutiBenitoJuarezMixtec	ña̧ni̧	ña̧ni̧	ɲ ã n ĩ	ɲ a n i	NA	josserand1983mixtec
5988	PUS	pus	574	YucuquimiOcampoMixtec	la³ko¹	la³ko¹	l a ⁵ k o ¹	l a ⁵ k o ¹	NA	vazquez2017sandhi
5989	COLD	frio	129	SanLuisMoreliaMixtec	ƀiši	ƀiši	β i ʃ i	β i ʃ i	NA	josserand1983mixtec
5991	TWO	dos	811	YucuquimiOcampoMixtec	y¹y¹	y¹y¹	y ¹ y ¹	y ¹ y ¹	NA	swanton2021observaciones
5992	TEN	diez	761	SanMateoSindihuiMixtec	uši	uši	u ʃ i	u ʒ i	NA	josserand1983mixtec
5994	SALT	sal	624	SantaMariaAcatepecMixtec	ñɨ̧́ɨ̧́	ñɨ̧́ɨ̧́	ɲ ɨ̃ ⁵ ɨ̃ ⁵	ɲ ɨ ⁵ ɨ̃ ⁵	NA	josserand1983mixtec
5997	SEVEN	siete	638	SanMiguelChicahuaMixtec	usa	usa	u s a	u s a	NA	josserand1983mixtec
5998	MEDICINE	medicina	424	AlacatlatzalaMixtec	ta̠ta̠n	ta̠ta̠n	t a ¹ t ã ¹	t a ¹ t ã ¹	NA	zylstra2012gramatica
6000	GREEN BEAN	ejote	308	SantaMariaApazcoMixtec	ⁿǰiči	ⁿǰiči	ⁿdʃ i tʃ i	ⁿdʃ i tʃ i	NA	josserand1983mixtec
6001	FOAM	espuma	9 250	SantiagoCacaloxtepecMixtec	či-i̧ỹo̧	či-i̧ỹo̧	tʃ i + ĩ j̃ õ	tʃ i + i ɲ o	pot. ti?	josserand1983mixtec
6002	BED	cama, lecho	26	SanEstebanAtatlahucaMixtec	xito	xito	x i t o	x i t o	NA	josserand1983mixtec
6003	SMOOTH	liso/a	685	SanAgustinAtenangoMixtec	vii	vii	β i i	β i i	NA	josserand1983mixtec
6005	DEER	venado	164	AlcozaucaGuerreroMixtec	isu	isu	i s u	i s u	NA	josserand1983mixtec
6006	SQUASH	calabaza	570	SantaCruzBravoMixtec	iki̧	iki̧	i k ĩ	i k ĩ	NA	josserand1983mixtec
6007	FOUR	cuatro	260	SantiagoChazumbaMixtec	ku̧mi̧	ku̧mi̧	k ũ m ĩ	k u m i	NA	josserand1983mixtec
6008	COLD	frio	129	CahuatacheMixtec	wìšī̧	wìšī̧	w i ¹ ʃ ĩ ³	w i ¹ ʃ ĩ ³	NA	durr1987preliminary
6009	SIX	seis	652	ChalcatongoHidalgoMixtec	i³ɲu¹	i³ɲu¹	i ³ ɲ u ¹	i ³ ɲ u ¹	NA	swanton2021observaciones
6010	MAGUEY	maguey	409	SanAgustinChayucoMixtec	yāvī	yāvī	j a ³ β i ³	j a ³ β i ³	NA	pensinger1974diccionario
6011	FINGERNAIL	uña	237	SantiagoIxtayutlaMixtec	tʸi̧i̧	tʸi̧i̧	tʲ ĩ ĩ	t ĩ ĩ	NA	josserand1983mixtec
6013	TROUSERS	pantalón	802	CoicoyanlasFloresMixtec	šatu	šatu	ʃ a t u	ʃ a t u	NA	josserand1983mixtec
6014	HAND	mano	320	SanJuanCoatzospamMixtec	ⁿdàʔà	ⁿdàʔà	ⁿd a ¹ ʔ a ¹	ⁿd a ¹ ʔ a ¹	NA	durr1987preliminary
6016	DEW	rocío	168	SanJuanColoradoMixtec	catsin	catsin	k a ³ ts ĩ ³	k a ³ ts ĩ ³	NA	stark1986diccionario
6017	DISEASE	enfermedad	172	CuatzoquitengoMixtec	kʷeʔe	kʷeʔe	kʷ e ʔ e	kʷ e ʔ e	NA	josserand1983mixtec
6018	YELLOW	amarillo	876	SanPedroJocotipacMixtec	kʷa̧a̧	kʷa̧a̧	kʷ ã ã	kʷ ã ã	NA	josserand1983mixtec
6020	SALT	sal	624	SantaAnaCuauhtemocMixtec	ñɨ̧ɨ̧	ñɨ̧ɨ̧	ɲ ɨ̃ ɨ̃	ɲ ɨ ɨ̃	NA	josserand1983mixtec
6021	RAT	ratón	444	CuyamecalcoVillaZaragozaMixtec	tɨ̧ñɨ̧	tɨ̧ñɨ̧	t ɨ̃ ɲ ɨ̃	t ɨ ɲ ɨ	NA	josserand1983mixtec
6022	HAIR	pelo, cabello	311	ElJicaralMixtec	ixí	ixí	i ³ ʃ i ⁵	i ³ ʃ i ⁵	NA	martin2020diccionario
6025	GREEN BEAN	ejote	308	SantaCatarinaEstetlaMixtec	ⁿdiči	ⁿdiči	ⁿd i tʃ i	ⁿd i tʃ i	NA	josserand1983mixtec
6026	DISEASE	enfermedad	172	SanMiguelPiedrasMixtec	kʷeʔe	kʷeʔe	kʷ e ʔ e	kʷ e ʔ e	NA	josserand1983mixtec
6027	BIRD	pájaro	49	IxpantepecNievesMixtec	laa	laa	l a a	l a a	NA	josserand1983mixtec
6028	TASSEL	espiga	751	SantaMariaHuazolotitlanMixtec	yoko	yoko	j o k o	j o k o	NA	josserand1983mixtec
6029	YEAR	año	872	SanAntonioHuitepecMixtec	kʷiža	kʷiža	kʷ i ʒ a	kʷ i ʒ a	NA	josserand1983mixtec
6031	TROUSERS	pantalón	802	LaBateaMixtec	tsatù	tsatù	ts a ³ t u ¹	ts a ³ t u ¹	NA	ramirez2020vocabulario
6032	INTESTINES	tripas	367	SantiagoJamiltepecMixtec	čɨtɨ	čɨtɨ	tʃ ɨ t ɨ	tʃ ɨ t ɨ	NA	josserand1983mixtec
6033	UNCLE	tío	824	SantiagoJamiltepecMixtec	shító	shító	ʃ i ⁵ t o ⁵	ʃ i ⁵ t o ⁵	expected tones: 1.1	johnson1988syntactic
6034	STOOL	silla	717	SantiagoJuxtlahuacaMixtec	tʸʰai	tʸʰai	tʲ a i	tʲ a i	NA	josserand1983mixtec
6036	FEATHER	pluma	227	SantaMariaJicaltepecMixtec	tu̧mi̧	tu̧mi̧	t ũ m ĩ	t u m i	NA	josserand1983mixtec
6037	HORN (ANATOMY)	cuerno	350	SanPedroMolinosMixtec	ⁿdiki	ⁿdiki	ⁿd i k i	ⁿd i k i	NA	josserand1983mixtec
6038	INTESTINES	tripas	367	SanPedroTidaaMixtec	šiti	šiti	ʃ i t i	ʃ i t i	NA	josserand1983mixtec
6039	TORTILLA	tortilla	789	SantiagoNuyooMixtec	stàà	stàà	s t a ¹ a ¹	s t a ¹ a ¹	NA	josserand1983mixtec
6040	HEN	pollo, gallina	35 99	SanMarcoslaFlorMixtec	nchuxi	nchuxi	ⁿdʃ u ³ ʃ i ³	ⁿdʃ u ³ ʃ i ³	sibilant harmony, expected ⁿds	anonymous2020san-marcos
6041	BEAN	frijol(es)	24	SantaCatarinaMechoacanMixtec	ⁿdutʸi	ⁿdutʸi	ⁿd u tʲ i	ⁿd u t i	NA	josserand1983mixtec
6042	EIGHT	ocho	207	SanJuanMixtepecMixtec	u̧na̧	u̧na̧	ũ n ã	u n a	NA	josserand1983mixtec
6043	NECK	cuello	465	SanPedroTututepecMixtec	suku̧	suku̧	s u k ũ	s u k ũ	NA	josserand1983mixtec
6044	BEAN	frijol(es)	24	SantaLuciaMonteverdeMixtec	ⁿduči	ⁿduči	ⁿd u tʃ i	ⁿd u tʃ i	NA	josserand1983mixtec
6045	DEER	venado	164	SanAgustinTlacotepecMixtec	isu	isu	i s u	i s u	NA	josserand1983mixtec
6046	WORKING OR WORK	trabajo	870	SanJorgeNuchitaMixtec	ču̧u̧	ču̧u̧	tʃ ũ ũ	tʃ ũ ũ	NA	josserand1983mixtec
6047	CHILD (DESCENDANT)	hijo, hija	103	SantosReyesTepejilloMixtec	seʔe	seʔe	s e ʔ e	s e ʔ e	NA	josserand1983mixtec
6048	OWNER	dueño, señor	485 512	SantiagoTamazolaMixtec	ʔis-toʔo	ʔis-toʔo	ʔ i s + t o ʔ o	i s + t o ʔ o	NA	josserand1983mixtec
6050	HOUSE	casa	363	SantaMariaPenolesMixtec	ƀèʔè	ƀèʔè	β e ¹ ʔ e ¹	β e ¹ ʔ e ¹	NA	durr1987preliminary
6051	BED	cama, lecho	26	SanPedroAtoyacMixtec	čito	čito	tʃ i t o	tʃ i t o	NA	josserand1983mixtec
6052	EAR	oreja	194	SantiagoTilantongoMixtec	đoʔo	đoʔo	ð o ʔ o	ð o ʔ o	NA	josserand1983mixtec
6053	SALTY	salado	628	PinotepaDonLuisMixtec	uʔwa	uʔwa	u ʔ w a	u ʔ w a	NA	josserand1983mixtec
6056	DAY (24 HOURS)	día	163	SanFranciscoSayultepecMixtec	kiwi	kiwi	k i w i	k i w i	NA	josserand1983mixtec
6057	GRIDDLE	comal	310	SanMiguelAhuehuetitlanMixtec	šoo	šoo	ʃ o o	ʃ o o	NA	josserand1983mixtec
6058	LOOSE	flojo/a (de cosa)	407	SanBartoloSoyaltepecMixtec	taya	taya	t a j a	t a j a	NA	josserand1983mixtec
6061	GREEN BEAN	ejote	308	SanSebastianTecomaxtlahuacaMixtec	ⁿčiči	ⁿčiči	ⁿdʃ i tʃ i	ⁿdʃ i tʃ i	NA	josserand1983mixtec
6064	YEAR	año	872	SanAntonioTepetlapaMixtec	kʷiya	kʷiya	kʷ i j a	kʷ i j a	NA	josserand1983mixtec
6065	MUD	lodo	449	MetlatonocMixtec	ⁿdʸáʔyū	ⁿdʸáʔyū	ⁿdʲ a ⁵ ʔ j u ³	ⁿdʲ a ⁵ ʔ j u ³	NA	josserand1983mixtec
6066	SQUASH	calabaza	570	SanPedroYosonamaMixtec	yikin	yikin	ʒ i k ĩ	ʒ i k ĩ	NA	gittlen2016gramatica
6068	SLOW	despacio	662	SanAgustinTlacotepecMixtec	kʷee	kʷee	kʷ e e	kʷ e e	NA	josserand1983mixtec
6069	FIRE	lumbre, fuego	240	SantaCatarinaTlaltempanMixtec	ñu̧ʔu̧	ñu̧ʔu̧	ɲ ũ ʔ ũ	ɲ u ʔ ũ	NA	josserand1983mixtec
6070	PRIEST	sacerdote	568	SantiagoYosonduaMixtec	sūtū	sūtū	s u ³ t u ³	s u ³ t u ³	irregular tones, expected 3.1	farris1992syntactic
6071	SISTER (OF WOMAN)	hermana de mujer	651	SantoTomasOcotepecMixtec	kuhu	kuhu	k u ¹ ʔ u ¹	k u ¹ ʔ u ¹	NA	alexander1988syntactic
6073	DEW	rocío	167	XayacatlanBravoMixtec	yūyū	yūyū	j u ³ j u ³	j u ³ j u ³	NA	josserand1983mixtec
6074	MOUNTAIN OR HILL	monte, cerro	437	SantaMariaYolotepecMixtec	žuku	žuku	ʒ u k u	ʒ u k u	NA	josserand1983mixtec
6075	SNAKE	culebra	689	YoloxochitlMixtec	ko¹o⁴	ko¹o⁴	k o ¹ o ⁵	k o ¹ o ⁵	NA	amith2021recursos
6076	PIMPLE	grano (de piel)	529	SantoDomingoHuendioMixtec	ⁿdìʔʒī	ⁿdìʔʒī	ⁿd i ¹ ʔ ʒ i ³	ⁿd i ¹ ʔ ʒ i ³	NA	Becerra Roldan p.c.
6077	LAZY	flojo/a, perezoso/a	379	SanBartolomeYucuaneMixtec	kuṣ̌i	kuṣ̌i	k u ʂ i	k u ʃ i	NA	josserand1983mixtec
6078	MOTHER	madre	435	SantaMariaZacatepecMixtec	ma'a	ma'a	m a ʔ a	m a ʔ a	NA	towne2011gramatica
6079	FEATHER	pluma	227	YucunaniMixtec	tùmi	tùmi	t u ¹ m i ³	t u ¹ m i ³	NA	salazar2020yucunani
6081	LAZY	flojo/a, perezoso/a	383	SantaMariaZacatepecMixtec	langua	langua	l a ⁿgʷ a	l a ⁿgʷ a	NA	towne2011gramatica
6082	LAZY	flojo/a, perezoso/a	377	SantaMariaZacatepecMixtec	su²ʧã²	su²ʧã²	s u ³ tʃ ã ³	s u ³ tʃ ã ³	NA	swanton2021observaciones
6084	FIFTEEN	quinze	235	SanMateoSindihuiMixtec	ñȩʔu̧	ñȩʔu̧	ɲ ẽ ʔ ũ	ɲ e ʔ ũ	NA	josserand1983mixtec
6085	DEER	venado	164	SanJuanTeitaMixtec	iđu	iđu	i ð u	i ð u	NA	josserand1983mixtec
6086	SQUASH	calabaza	570	SantaMariaAcatepecMixtec	yɨkɨ̧	yɨkɨ̧	j ɨ k ɨ̃	j ɨ k ɨ̃	NA	josserand1983mixtec
6088	EIGHT	ocho	207	SanMiguelChicahuaMixtec	u̧na̧	u̧na̧	ũ n ã	u n a	NA	josserand1983mixtec
6090	SALT	sal	624	SantaMariaApazcoMixtec	ñi̧i̧	ñi̧i̧	ɲ ĩ ĩ	ɲ i ĩ	NA	josserand1983mixtec
6091	RED	rojo	595	SantiagoCacaloxtepecMixtec	kʷàʔá	kʷàʔá	kʷ a ¹ ʔ a ⁵	kʷ a ¹ ʔ a ⁵	NA	durr1987preliminary
6093	SLOW	despacio	662	SanAgustinAtenangoMixtec	kʷee	kʷee	kʷ e e	kʷ e e	NA	josserand1983mixtec
6095	DOG	perro	9 174	AlcozaucaGuerreroMixtec	ti¹²na¹	t-i¹²na¹	t + i ¹³ n a ¹	t + i ¹³ n a ¹	NA	swanton2021observaciones
6096	SUGAR CANE	caña	734	SantaCruzBravoMixtec	ⁿdòò	ⁿdòò	ⁿd o ¹ o ¹	ⁿd o ¹ o ¹	NA	josserand1983mixtec
6097	SIX	seis	652	SantiagoChazumbaMixtec	i̧ñu̧	i̧ñu̧	ĩ ɲ ũ	i ɲ u	NA	josserand1983mixtec
6098	HOT	caliente	357	CahuatacheMixtec	ñi̧ʔni̧	ñi̧ʔni̧	ɲ ĩ ʔ n ĩ	ɲ i ʔ n i	NA	josserand1983mixtec
6100	THORN	espina	764	SanAgustinChayucoMixtec	iñu	iñu	i ɲ u	i ɲ u	NA	pensinger1974diccionario
6101	INTESTINES	tripas	367	SantiagoIxtayutlaMixtec	čɨtɨ	čɨtɨ	tʃ ɨ t ɨ	tʃ ɨ t ɨ	NA	josserand1983mixtec
6102	SOAP	jabón	690	SanMiguelElGrandeMixtec	nāmà	nāmà	n a ³ m a ¹	n a ³ m a ¹	NA	durr1987preliminary
6103	BLOUSE (WOVEN)	huipil	66	CoicoyanlasFloresMixtec	šìku̧	šìku̧	ʃ i ¹ k ũ	ʃ i ¹ k ũ	NA	josserand1983mixtec
6104	INTESTINES	tripas	367	SanJuanCoatzospamMixtec	itɨ	itɨ	i t ɨ	i t ɨ	NA	josserand1983mixtec
6106	PLAIN	llanura, llano	537	SanJuanColoradoMixtec	ndúhvà	ndúhvà	ⁿd u ⁵ ʔ β a ¹	ⁿd u ⁵ ʔ β a ¹	irregular tones, expected 3.1	stark1986diccionario
6107	SWELLING	hinchazón	742	CuatzoquitengoMixtec	kʷi̧ño̧	kʷi̧ño̧	kʷ ĩ ɲ õ	kʷ i ɲ o	NA	josserand1983mixtec
6109	SUGAR CANE	caña	734	SantaAnaCuauhtemocMixtec	ⁿdoo	ⁿdoo	ⁿd o o	ⁿd o o	NA	josserand1983mixtec
6110	DEER	venado	164 165	CuyamecalcoVillaZaragozaMixtec	đu-kuʔu	đu-kuʔu	ð u + k u ʔ u	ð u + k u ʔ u	NA	josserand1983mixtec
6111	FACE	cara	210	ElJicaralMixtec	nu̠ú	nu̠ú	n u ¹ u ⁵	n u ¹ u ⁵	NA	martin2020diccionario
6114	SALT	sal	624	SantaCatarinaEstetlaMixtec	ñɨ̧ɨ̧	ñɨ̧ɨ̧	ɲ ɨ̃ ɨ̃	ɲ ɨ ɨ̃	NA	josserand1983mixtec
6115	PIMPLE	grano (de piel)	529	SanMiguelPiedrasMixtec	ⁿdɨʔžɨ	ⁿdɨʔžɨ	ⁿd ɨ ʔ ʒ ɨ	ⁿd ɨ ʔ ʒ ɨ	NA	josserand1983mixtec
6116	SNAKE	culebra	689 1015	IxpantepecNievesMixtec	kóó-kāá	kóó-kāá	k o ⁵ o ⁵ + k a ³ a ⁵	k o ⁵ o ⁵ + k a ³ a ⁵	NA	josserand1983mixtec
6117	BEAN	frijol(es)	24	SantaMariaHuazolotitlanMixtec	ⁿdutʸi	ⁿdutʸi	ⁿd u tʲ i	ⁿd u t i	NA	josserand1983mixtec
6118	NOW OR TODAY	ahora, hoy	501	SanAntonioHuitepecMixtec	wi̧N(n)a̧	wi̧Nna̧	w ĩ n̥n ã	w ĩ t ã	NA	josserand1983mixtec
6119	BEAN	frijol(es)	24	SantaCruzItundujiaMixtec	ⁿduči	ⁿduči	ⁿd u tʃ i	ⁿd u tʃ i	NA	josserand1983mixtec
6120	BLOUSE (WOVEN)	huipil	112 151	LaBateaMixtec	sa'mǎ kwitsì	sa'mǎ-kwitsì	s a ³ ʔ m a ¹⁵ + kʷ i ³ ts i ¹	s a ³ ʔ m a ¹⁵ + kʷ i ³ ts i ¹	NA	ramirez2020vocabulario
6122	MAN	hombre	415 408	SantiagoJamiltepecMixtec	ra-yɨɨ	ra-yɨɨ	ɾ a ¹ + j ɨ ¹ ɨ ¹	ɾ a ¹ + j ɨ ¹ ɨ ¹	NA	johnson1988syntactic
6123	BIRD	pájaro	49	SantiagoJuxtlahuacaMixtec	laa	laa	l a a	l a a	NA	josserand1983mixtec
6124	WING	ala	853	SantaMariaJicaltepecMixtec	ⁿdiči̧	ⁿdiči̧	ⁿd i tʃ ĩ	ⁿd i tʃ ĩ	NA	josserand1983mixtec
6125	FEATHER	pluma	227	SanPedroMolinosMixtec	tNu̧mi̧	tNu̧mi̧	tⁿ̥ ũ m ĩ	tⁿ u m i	NA	josserand1983mixtec
6126	FOOT	pie	258	SanPedroTidaaMixtec	saʔa	saʔa	s a ʔ a	s a ʔ a	NA	josserand1983mixtec
6127	CORN STALK	rastrojo	150	SantiagoNuyooMixtec	ñà̧mà̧	ñà̧mà̧	ɲ ã ¹ m ã ¹	ɲ a ¹ m a ¹	NA	josserand1983mixtec
6128	PIG	cerdo, marrano	526	SanMarcoslaFlorMixtec	kinì	kinì	k i ³ n i ¹	k i ³ n i ¹	NA	anonymous2020san-marcos
6129	GREEN BEAN	ejote	308	SantaCatarinaMechoacanMixtec	ⁿdʸitʸi	ⁿdʸitʸi	ⁿdʲ i tʲ i	ⁿd i t i	NA	josserand1983mixtec
6130	HEAVY	pesado	326	MagdalenaPenascoMixtec	vèe	vèe	β e ¹ e ³	β e ¹ e ³	NA	hollenbach2017diccionario
6131	FIFTEEN	quinze	234	SanJuanMixtepecMixtec	ča̧ʔu̧	ča̧ʔu̧	tʃ ã ʔ ũ	ts ã ʔ ũ	NA	josserand1983mixtec
6132	INTESTINES	tripas	367	SanPedroTututepecMixtec	čɨtɨ	čɨtɨ	tʃ ɨ t ɨ	tʃ ɨ t ɨ	NA	josserand1983mixtec
6133	GREEN BEAN	ejote	308	SantaLuciaMonteverdeMixtec	ⁿdiči	ⁿdiči	ⁿd i tʃ i	ⁿd i tʃ i	NA	josserand1983mixtec
6134	SQUIRREL	ardilla	698	SanAgustinTlacotepecMixtec	kʷȩni̧	kʷȩni̧	kʷ ẽ n ĩ	kʷ ẽ n i	NA	josserand1983mixtec
6135	YESTERDAY	ayer	878	SanMarcoslaFlorMixtec	koni	koni	k o ³ n i ³	k o ³ n i ³	NA	anonymous2020san-marcos
6136	WORD	palabra	863	SanJorgeNuchitaMixtec	tō̧ʔō̧	tō̧ʔō̧	t õ ³ ʔ õ ³	t õ ³ ʔ õ ³	NA	josserand1983mixtec
6137	BROTHER (OF MAN)	hermano de hombre	84	SantosReyesTepejilloMixtec	ña̧ni̧	ña̧ni̧	ɲ ã n ĩ	ɲ a n i	NA	josserand1983mixtec
6138	SLOW	despacio	662	SanAndresNuxinoMixtec	kʷee	kʷee	kʷ e e	kʷ e e	NA	josserand1983mixtec
6139	PRIEST	sacerdote	568	SantiagoTamazolaMixtec	θütü	θütü	θ ʉ t ʉ	θ u t u	NA	josserand1983mixtec
6141	HOT	caliente	357	SanMiguelAchiutlaMixtec	i̧ʔni̧	i̧ʔni̧	ĩ ʔ n ĩ	ĩ ʔ n i	NA	josserand1983mixtec
6142	PATH	camino	523	SantaMariaPenolesMixtec	ìčì	ìčì	i ¹ tʃ i ¹	i ¹ tʃ i ¹	NA	durr1987preliminary
6143	STOOL	silla	717	SanPedroAtoyacMixtec	tayu	tayu	t a j u	t a j u	NA	josserand1983mixtec
6144	NOSE	naríz	496	SantiagoTilantongoMixtec	đi̧tni̧	đi̧tni̧	ð ĩ tⁿ ĩ	ð ĩ tⁿ ĩ	NA	josserand1983mixtec
6145	BITTER	amargo	51	PinotepaDonLuisMixtec	uwa	uwa	u w a	u w a	NA	josserand1983mixtec
6148	FINGERNAIL	uña	237	SantoTomasOcotepecMixtec	tí̧í̧	tí̧í̧	t ĩ ⁵ ĩ ⁵	t ĩ ⁵ ĩ ⁵	NA	josserand1983mixtec
6149	HALF	mitad	314	SanFranciscoSayultepecMixtec	sawa	sawa	s a w a	s a w a	NA	josserand1983mixtec
6150	COOKING POT	olla	138	SanMiguelAhuehuetitlanMixtec	kìθí	kìθí	k i ¹ θ i ⁵	k i ¹ θ i ⁵	NA	josserand1983mixtec
6151	UGLY	feo	818	SanBartoloSoyaltepecMixtec	kʷiʔ(y)a	kʷiʔya	kʷ i ʔ j a	kʷ i ʔ j a	NA	josserand1983mixtec
6154	SALT	sal	624	SanSebastianTecomaxtlahuacaMixtec	ñī̧ì̧	ñī̧ì̧	ɲ ĩ ¹ ĩ ¹	ɲ i ¹ ĩ ¹	NA	josserand1983mixtec
6157	NOW OR TODAY	ahora, hoy	501	SanAntonioTepetlapaMixtec	witi̧	witi̧	w i t ĩ	w i t ĩ	NA	josserand1983mixtec
6159	SUGAR CANE	caña	734	SanPedroYosonamaMixtec	ndoo	ndoo	ⁿd o o	ⁿd o o	NA	gittlen2016gramatica
6160	COOKING POT	olla	138	SantiagoTlazoyaltepecMixtec	kɨđɨ	kɨđɨ	k ɨ ð ɨ	k ɨ ð ɨ	NA	josserand1983mixtec
6161	YESTERDAY	ayer	879	SanAgustinTlacotepecMixtec	iku	iku	i k u	i k u	NA	josserand1983mixtec
6163	SMOKE (EXHAUST)	humo	682	SantaCatarinaTlaltempanMixtec	ñu̧ʔma̧	ñu̧ʔma̧	ɲ ũ ʔ m ã	ɲ u ʔ m a	NA	josserand1983mixtec
6164	HAIR	pelo, cabello	311	SantiagoYosonduaMixtec	īshī	īshī	i ³ ʃ i ³	i ³ ʃ i ³	NA	farris1992syntactic
6165	AUNT	tía	6	SantoTomasOcotepecMixtec	shīshi	shīshi	ʃ i ³ ʃ i ¹	ʃ i ³ ʃ i ¹	NA	alexander1988syntactic
