ID	CONCEPT	GLOSS	COGIDS	DOCULECT	SOURCE_ORIGINAL	SOURCE_ORTHOGRAPHIC	TOKENS_SOURCE	TOKENS	COMMENT	SOURCE
30	CLOTH OR CLOTHES	tela, ropa	112	AbasoloValleMixtec	sa'ma	sa'ma	s a ³ ʔ m a ³	s a ³ ʔ m a ³	NA	galindo-sanchez2009vocabulario
31	SANDAL	huarache	631	AbasoloValleMixtec	ntsítsa	ntsítsa	ⁿds i ⁵ ts a ³	ⁿds i ⁵ ts a ³	irregular, expected ⁿdʃitsa, pot. sibilant harmony	galindo-sanchez2009vocabulario
32	TROUSERS	pantalón	802	AbasoloValleMixtec	tsatu	tsatu	ts a ³ t u ³	ts a ³ t u ³	NA	galindo-sanchez2009vocabulario
33	TOWN OR VILLAGE	pueblo	794	AbasoloValleMixtec	ñuu	ñuu	ɲ u ³ u ³	ɲ u ³ u ³	NA	galindo-sanchez2009vocabulario
34	HOUSE	casa	363	AbasoloValleMixtec	ve'e	ve'e	β e ³ ʔ e ³	β e ³ ʔ e ³	NA	galindo-sanchez2009vocabulario
35	PATH	camino	523	AbasoloValleMixtec	ichi	ichi	i ³ tʃ i ³	i ³ tʃ i ³	NA	galindo-sanchez2009vocabulario
36	POST	horcón	387	AbasoloValleMixtec	si'ìn	si'ìn	s i ³ ʔ ĩ ¹	s i ³ ʔ ĩ ¹	NA	galindo-sanchez2009vocabulario
37	MAT	petate	416	AbasoloValleMixtec	yuvi	yuvi	ʒ u ³ β i ³	ʒ u ³ β i ³	NA	galindo-sanchez2009vocabulario
38	BED	cama, lecho	26	AbasoloValleMixtec	tsíto	tsíto	ts i ⁵ t o ¹	ts i ⁵ t o ¹	NA	galindo-sanchez2009vocabulario
39	STOOL	silla	717	AbasoloValleMixtec	chai	chai	tʃ a ³ i ³	tʃ a ³ i ³	NA	galindo-sanchez2009vocabulario
40	ANIMAL	animal	2	AbasoloValleMixtec	kiti	kiti	k i ³ t i ³	k i ³ t i ³	NA	galindo-sanchez2009vocabulario
41	BIRD	pájaro	49	AbasoloValleMixtec	saa	saa	s a ³ a ³	s a ³ a ³	NA	galindo-sanchez2009vocabulario
42	FISH	pescado	9 242	AbasoloValleMixtec	chaká	ch-aká	tʃ + a ³ k a ⁵	tʃ + a ³ k a ⁵	NA	galindo-sanchez2009vocabulario
43	SNAKE	culebra	689	AbasoloValleMixtec	kòò	kòò	k o ¹ o ¹	k o ¹ o ¹	NA	galindo-sanchez2009vocabulario
44	FROG	rana	263	AbasoloValleMixtec	sa'va	sa'va	s a ³ ʔ β a ³	s a ³ ʔ β a ³	NA	galindo-sanchez2009vocabulario
45	HAWK	gavilán	193	AbasoloValleMixtec	xi'an	xi'an	ʃ i ³ ʔ ã ³	ʃ i ³ ʔ ã ³	NA	galindo-sanchez2009vocabulario
46	BEE	abeja	29	AbasoloValleMixtec	ñuñu	ñuñu	ɲ u ³ ɲ u ³	ɲ u ³ ɲ u ³	NA	galindo-sanchez2009vocabulario
47	MUROID (MOUSE OR RAT)	ratón	444	AbasoloValleMixtec	ti'in	ti'in	t i ³ ʔ ĩ ³	t i ³ ʔ ĩ ³	NA	galindo-sanchez2009vocabulario
48	DEER	venado	164	AbasoloValleMixtec	isu	isu	i ³ s u ³	i ³ s u ³	NA	galindo-sanchez2009vocabulario
49	SQUIRREL	ardilla	35 698	AbasoloValleMixtec	ntikuain	nti-kuain	ⁿd i ³ + kʷ a ³ ĩ ³	ⁿd i ³ + kʷ a ³ ĩ ³	NA	galindo-sanchez2009vocabulario
50	POSSUM	tlacuache	554	AbasoloValleMixtec	tsoko	tsoko	ts o ³ k o ¹	ts o ³ k o ¹	NA	galindo-sanchez2009vocabulario
51	RACCOON	mapache	582	AbasoloValleMixtec	ma'àn	ma'àn	m a ³ ʔ ã ¹	m a ³ ʔ ã ¹	NA	galindo-sanchez2009vocabulario
52	DOG	perro	9 174	AbasoloValleMixtec	tina	t-ina	t + i ³ n a ³	t + i ³ n a ³	NA	galindo-sanchez2009vocabulario
53	CAT	gato	91	AbasoloValleMixtec	vilu	vilu	β i ³ l u ³	β i ³ l u ³	NA	galindo-sanchez2009vocabulario
54	ROOSTER	gallo	615	AbasoloValleMixtec	to'lo	to'lo	t o ³ ʔ l o ¹	t o ³ ʔ l o ¹	NA	galindo-sanchez2009vocabulario
55	HEN	pollo, gallina	328	AbasoloValleMixtec	chata	chata	tʃ a ³ t a ³	tʃ a ³ t a ³	NA	galindo-sanchez2009vocabulario
56	PIG	cerdo, marrano	526	AbasoloValleMixtec	kìni	kìni	k i ¹ n i ³	k i ¹ n i ³	NA	galindo-sanchez2009vocabulario
58	SHEEP	oveja	35 1044 157	AbasoloValleMixtec	ntikachi	nti-kachi	ⁿd i ³ + k a ³ tʃ i ³	ⁿd i ³ + k a ³ tʃ i ³	NA	galindo-sanchez2009vocabulario
59	ANT	hormiga	9 882	AbasoloValleMixtec	choko	ch-oko	tʃ + o ³ k o ¹	tʃ + o ³ k o ¹	NA	galindo-sanchez2009vocabulario
60	HORN (ANATOMY)	cuerno	350	AbasoloValleMixtec	ntiki	ntiki	ⁿd i ³ k i ³	ⁿd i ³ k i ³	NA	galindo-sanchez2009vocabulario
61	FEATHER	pluma	227	AbasoloValleMixtec	túmi	túmi	t u ⁵ m i ³	t u ⁵ m i ³	NA	galindo-sanchez2009vocabulario
62	TAIL	cola	748	AbasoloValleMixtec	nto'o	nto'o	ⁿd o ³ ʔ o ¹	ⁿd o ³ ʔ o ¹	NA	galindo-sanchez2009vocabulario
63	TREE	árbol	799	AbasoloValleMixtec	yutu	yutu	ʒ u ³ t u ³	ʒ u ³ t u ³	NA	galindo-sanchez2009vocabulario
64	HERBACEOUS PLANT	quelite	334	AbasoloValleMixtec	kù'ù	kù'ù	k u ¹ ʔ u ¹	k u ¹ ʔ u ¹	NA	galindo-sanchez2009vocabulario
65	GRASS	zacate, pasto	294	AbasoloValleMixtec	icha	icha	i ³ tʃ a ³	i ³ tʃ a ³	NA	galindo-sanchez2009vocabulario
66	FLOWER	flor	246	AbasoloValleMixtec	ita	ita	i ³ t a ³	i ³ t a ³	NA	galindo-sanchez2009vocabulario
67	MAGUEY	maguey	409	AbasoloValleMixtec	yàvì	yàvì	ʒ a ¹ β i ¹	ʒ a ¹ β i ¹	NA	galindo-sanchez2009vocabulario
68	ROOT	raíz	619	AbasoloValleMixtec	yo'o	yo'o	ʒ o ³ ʔ o ¹	ʒ o ³ ʔ o ¹	NA	galindo-sanchez2009vocabulario
69	THORN	espina	764	AbasoloValleMixtec	iñu	iñu	i ³ ɲ u ³	i ³ ɲ u ³	NA	galindo-sanchez2009vocabulario
70	CORN	maíz	141	AbasoloValleMixtec	nuni	nuni	n u ³ n i ³	n u ³ n i ³	NA	galindo-sanchez2009vocabulario
71	CORN FIELD	milpa	145	AbasoloValleMixtec	itu	itu	i ³ t u ³	i ³ t u ³	NA	galindo-sanchez2009vocabulario
72	EAR OF CORN (FRESH)	elote	199	AbasoloValleMixtec	ntíxi	ntíxi	ⁿd i ⁵ ʃ i ³	ⁿd i ⁵ ʃ i ³	NA	galindo-sanchez2009vocabulario
73	NIXTAMAL	nixtamal	492	AbasoloValleMixtec	tsá'á	tsá'á	ts a ⁵ ʔ a ⁵	ts a ⁵ ʔ a ⁵	NA	galindo-sanchez2009vocabulario
74	CORN DOUGH	masa	142	AbasoloValleMixtec	yutsa	yutsa	ʒ u ³ ts a ³	ʒ u ³ ts a ³	NA	galindo-sanchez2009vocabulario
75	TORTILLA	tortilla	789	AbasoloValleMixtec	staa	staa	s t a ³ a ³	s t a ³ a ³	NA	galindo-sanchez2009vocabulario
76	FURROW	surco	272	AbasoloValleMixtec	yuku	yuku	ʒ u ³ k u ³	ʒ u ³ k u ³	NA	galindo-sanchez2009vocabulario
77	TASSEL	espiga	751	AbasoloValleMixtec	yòko	yòko	ʒ o ¹ k o ¹	ʒ o ¹ k o ¹	NA	galindo-sanchez2009vocabulario
78	BEAN	frijol(es)	24	AbasoloValleMixtec	ntuchi	ntuchi	ⁿd u ³ tʃ i ³	ⁿd u ³ tʃ i ³	NA	galindo-sanchez2009vocabulario
